id,date,Soybean_Hulls,Cottonseed_Whole,Cottonseed_Meal,Peanut_Meal,Rice_Bran,Wheat_Meal,Urea,Soybean_Meal,Corn_Grain,Citrus_Pulp,F_Corn_Silage,F_Sugarcane_Silage,animal_price
31,Jun-16,0.379,0.75667,1.2,1.19,0.7225,0.69,2.46,1.48,0.804833333,0.52217,0.1609666666,0.069,5.808652778
32,Jul-16,0.382,0.74,1.21,1.29,0.735,0.77858,2.46,1.45,0.726166667,0.57167,0.1452333334,0.077858,5.806444444
33,Aug-16,0.383,0.74,1.19,1.29,0.75,0.79963,2.46,1.42,0.746,0.57857,0.1492,0.079963,5.648916667
34,Sep-16,0.38555,0.79,1.18,1.29,0.77,0.7954,2.39,1.35,0.670833333,0.625,0.1341666666,0.07954,5.609166667
35,Oct-16,0.396,0.79,1.16,1.3,0.8275,0.79477,2.39,1.32,0.691833333,0.72143,0.1383666666,0.079477,5.657013889
36,Nov-16,0.405,0.79,1.08,1.25,0.8325,0.7879,2.39,1.28,0.634166667,0.725,0.1268333334,0.07879,5.596284722
37,Dec-16,0.41,0.79,1.03,1.17,0.8125,0.75115,2.4,1.29,0.623333333,0.725,0.1246666666,0.075115,5.571625
38,Jan-17,0.42067,0.79,1.02,1.14,0.8275,0.68802,2.49,1.22,0.6,0.75,0.12,0.068802,5.556902778
39,Feb-17,0.421,0.8675,1.02,1.13,0.7325,0.70592,2.6,1.21,0.595,0.73125,0.119,0.070592,5.489548611
40,Mar-17,0.39718,0.8675,1.01,0.9836,0.715,0.68372,2.4,1.19,0.553333333,0.7,0.1106666666,0.068372,5.380604167
41,Apr-17,0.36647,0.8675,0.94088,0.9576,0.72,0.6518,2.4,1.1,0.4635,0.7,0.0927,0.06518,5.104194444
42,May-17,0.3665,0.8675,0.92588,0.9576,0.72,0.65243,2.4,1.07,0.456166667,0.58625,0.0912333334,0.065243,5.101618056
43,Jun-17,0.3665,0.8175,0.92213,0.9736,0.7575,0.63493,2.28,1.14,0.4335,0.47286,0.0867,0.063493,4.833673611
44,Jul-17,0.37313,0.8175,0.90375,0.966,0.75,0.53946,2.15,1.15,0.424666667,0.346,0.0849333334,0.053946,4.684979167
45,Aug-17,0.375,0.755,0.87763,0.95,0.655,0.52156,2.15,1.08,0.425666667,0.28,0.0851333334,0.052156,4.972798611
46,Sep-17,0.37759,0.755,0.864,0.956,0.655,0.5575,2.15,1.06,0.468333333,0.271,0.0936666666,0.05575,5.344166667
47,Oct-17,0.37759,0.755,0.86025,0.992,0.6625,0.57979,2.18,1.1,0.4985,0.294,0.0997,0.057979,5.208722222
48,Nov-17,0.37759,0.755,0.855,0.992,0.6575,0.57938,2.18,1.11,0.514166667,0.298,0.1028333334,0.057938,5.189583333
49,Dec-17,0.37092,0.7675,0.83125,0.992,0.6625,0.60708,2.45,1.11,0.510166667,0.312,0.1020333334,0.060708,5.422930556
50,Jan-18,0.36008,0.7675,0.815,0.952,0.6375,0.60771,2.45,1.1,0.524833333,0.352,0.1049666666,0.060771,5.451638889
51,Feb-18,0.35375,0.7675,0.7975,0.948,0.6275,0.56521,2.45,1.11,0.556166667,0.338,0.1112333334,0.056521,5.436548611
52,Mar-18,0.36375,0.73,0.8385,0.91,0.675,0.54635,2.48,1.35,0.652,0.348,0.1304,0.054635,5.401583333
53,Apr-18,0.38001,0.73,0.84625,0.92667,0.6875,0.57488,2.48,1.35,0.649166667,0.432,0.1298333334,0.057488,5.305520833
54,May-18,0.38001,0.685,0.89786,0.93062,0.6925,0.65931,2.48,1.45,0.6905,0.47,0.1381,0.065931,5.178909722
55,Jun-18,0.3773,0.7,0.95113,1.03,0.69875,0.69181,2.59,1.48,0.674666667,0.51333,0.1349333334,0.069181,5.152777778
56,Jul-18,0.3773,0.7,0.95613,1.03,0.69875,0.7525,2.6,1.44,0.597666667,0.51,0.1195333334,0.07525,5.248472222
57,Aug-18,0.3773,0.7,0.94922,1.15,0.71875,0.78833,2.72,1.43,0.666666667,0.5,0.1333333334,0.078833,5.338277778
58,Sep-18,0.3773,0.676,0.97167,1.17,0.71875,0.86,2.72,1.45,0.673166667,0.528,0.1346333334,0.086,5.536291667
59,Oct-18,0.3773,0.67,0.96411,1.2,0.71875,0.855,3.06,1.39,0.626166667,0.518,0.1252333334,0.0855,5.5484375
60,Nov-18,0.4023,0.66,0.93827,1.08,0.7575,0.8225,2.83,1.32,0.588666667,0.51,0.1177333334,0.08225,5.466729167
61,Dec-18,0.4023,0.663,0.94216,1.01,0.7425,0.82306,2.83,1.34,0.633333333,0.528,0.1266666666,0.082306,5.556534722
62,Jan-19,0.4023,0.66,0.93778,0.98333,0.74,0.81056,2.96,1.31,0.675333333,0.53796,0.1350666666,0.081056,5.583770833
63,Feb-19,0.3898,0.67,0.92333,0.93833,0.7475,0.78694,2.96,1.26,0.700833333,0.55396,0.1401666666,0.078694,5.635666667
64,Mar-19,0.3898,0.68,0.926,0.96083,0.7475,0.80778,2.96,1.28,0.679,0.54996,0.1358,0.080778,5.715166667
65,Apr-19,0.4173,0.676,0.9123,0.95833,0.7475,0.80278,2.96,1.26,0.6395,0.6095,0.1279,0.080278,5.824847222
66,May-19,0.44843,0.705,0.91444,0.94583,0.7725,0.77069,2.94,1.24,0.599166667,0.438,0.1198333334,0.077069,5.745715278
67,Jun-19,0.4212,0.705,0.93996,1.01,0.775,0.78181,2.83,1.3,0.638166667,0.409,0.1276333334,0.078181,5.652597222
68,Jul-19,0.4212,0.72375,0.96496,1.06,0.77,0.79069,2.74,1.28,0.625333333,0.399,0.1250666666,0.079069,5.719951389
69,Aug-19,0.4212,0.72375,0.99518,1.13,0.77,0.82778,2.74,1.27,0.629166667,0.414,0.1258333334,0.082778,5.7273125
70,Sep-19,0.4312,0.7025,0.98696,1.13,0.77,0.77017,2.48,1.28,0.656333333,0.416,0.1312666666,0.077017,5.868645833
71,Oct-19,0.4712,0.7055,0.978,1.09,0.785,0.7775,2.52,1.32,0.7065,0.442,0.1413,0.07775,6.054513889
72,Nov-19,0.4712,0.71,0.96333,1.07,0.775,0.7705,2.52,1.31,0.761,0.476,0.1522,0.07705,7.291548611
73,Dec-19,0.4712,0.71,0.97233,1.07,0.775,0.7705,2.6,1.31,0.819666667,0.535,0.1639333334,0.07705,7.569430556
